ISBN,Autor,Titulo,Editora,Ano,Estante,Preco,Idioma,Capa,Peso,Dimensoes,Paginas
9788565294461,Totonha Lobo,Na Rabeira do Tempo,Digital Publish & Print,2015,Ficção Brasileira,10,Português,Comum,280,21 x 15 cm,176
9788585872670,Zibia Gasparetto,Ninguém é de Ninguém,Vida & Consciência,2006,Ficção Brasileira,10,Português,Comum,468,21 x 14 cm,374
9788587588050,Laé de Souza,Nos Bastidores do Cotidiano,Ecoarte,2010,Ficção Brasileira,10,Português,Comum,128,21 x 14 cm,64
9788562131257,G. P. de Figueiredo; Guian de Bastos,O Advogado Que Entrou no Armário,Letras do Pensamento,2013,Ficção Brasileira,10,Português,Comum,370,21 x 14 cm,312
9788577220083,Zibia Gasparetto,O Amanhã a Deus Pertence,Vida & Consciência,2006,Ficção Brasileira,10,Português,Comum,433,21 x 14 cm,340
9788571641921,Ruy Castro,O Amor de Mau Humor,Companhia das Letras,1991,Ficção Brasileira,10,Português,Comum,282,21 x 14 cm,212
ND,Zibia Gasparetto,O Amor Venceu,Vida & Consciência,ND,Ficção Brasileira,10,Português,Comum,437,21 x 14 cm,376
9788585330125,C. Jos. Bravo,O Barão de Munt Casprio,Peresin,2019,Ficção Brasileira,10,Português,Comum,380,21 x 14 cm,294
ND,Jorge Amado,O Capitão de Longo Curso,Record,1979,Ficção Brasileira,10,Português,Dura,403,22 x 15 cm,244
ND,Aluísio de Azevedo,O Cortiço,Atica,1978,Ficção Brasileira,10,Português,Comum,177,21 x 14 cm,160
9788541106559,Lia Neves,O Destino Tecendo a História,All Print,2014,Ficção Brasileira,10,Português,Comum,200,21 x 14 cm,140
9788532500342,Paulo Coelho,O Diário de um Mago,Rocco,2001,Ficção Brasileira,10,Português,Comum,325,21 x 14 cm,248
9788501040121,Lúcia Guedes,O Diário Submerso,Record,1992,Ficção Brasileira,10,Português,Comum,298,21 x 14 cm,240
ND,José de Alencar,O Gaúcho; o Tronco do Ipê,Formar,1971,Ficção Brasileira,10,Português,Dura,604,22 x 15 cm,296
ND,Jose de Alencar,O Guarani,Edicoes de Ouro,ND,Ficção Brasileira,10,Português,Comum,242,16 x 11 cm,352
9786500127652,Liberty Books,O Livro das Cartas,Liberty Books,2020,Ficção Brasileira,10,Português,Comum,210,21 x 14 cm,140
ND,José Mauro de Vasconcelos,O Meu Pé de Laranja Lima,Melhoramentos,1968,Ficção Brasileira,20,Português,Comum,280,21 x 14 cm,192
9788500005671,Aluísio de Azevedo,O Mulato,Ediouro,2001,Ficção Brasileira,10,Português,Comum,410,21 x 14 cm,344
ND,José Mauro de Vasconcelos,O Palácio Japonês,Melhoramentos,1969,Ficção Brasileira,10,Português,Comum,208,21 x 14 cm,114
ND,Bernardo Guimarães,O Seminarista,Atica,1977,Ficção Brasileira,10,Português,Comum,168,21 x 14 cm,128
ND,Ricardo Ramos,O Sobrevivente,Global,1984,Ficção Brasileira,10,Português,Comum,196,21 x 14 cm,114
ND,A. Vasconcelos Noronha,O Sonho da Mariposa,Sic,1975,Ficção Brasileira,10,Português,Comum,408,21 x 14 cm,296
ND,José de Alencar,O Tronco do Ipê,Atica,1977,Ficção Brasileira,10,Português,Comum,159,21 x 14 cm,152
ND,José Mauro de Vasconcelos,O Veleiro de Cristal,Melhoramentos,1977,Ficção Brasileira,10,Português,Comum,170,20 x 14 cm,94
ND,Marcos Claudino,"Opiniões, Ideias e Viagens Mentais",Do Autor,ND,Ficção Brasileira,10,Português,Comum,187,21 x 15 cm,114
9788577188536,Rogerio Cardoso Bulhões,Os Filhos do Sol - o Artefato,All Print,2011,Ficção Brasileira,10,Português,Comum,522,21 x 14 cm,432
ND,Celso Skrabe,Os Poderosos,Nova Época,1979,Ficção Brasileira,10,Português,Comum,300,21 x 14 cm,198
9788567283807,Valderez Escobar,Pedacinhos do Céu,Daya,2019,Ficção Brasileira,10,Português,Comum,340,21 x 14 cm,220
ND,José Lins do Rego,Pedra Bonita,José Olympio,1973,Ficção Brasileira,10,Português,Dura,383,21 x 14 cm,250
9788585872151,Zibia Gasparetto,Pelas Portas do Coração,Vida & Consciência,ND,Ficção Brasileira,10,Português,Comum,439,21 x 14 cm,360
ND,Lucio Martins Rodrigues,Ponto Final: Katmandu,Lr,1983,Ficção Brasileira,10,Português,Comum,298,21 x 14 cm,232
9788568263082,Carolina Munhóz,Por um Toque de Ouro,Rocco,2015,Ficção Brasileira,10,Português,Comum,394,23 x 16 cm,272
9788562697005,Luiz Fernando Filgueiras,Por uma Noite,Dom Quixote,2009,Ficção Brasileira,10,Português,Comum,260,21 x 14 cm,232
9788573027945,Arnaldo Jabor,Pornopolítica,Objetiva,2006,Ficção Brasileira,10,Português,Comum,390,23 x 16 cm,236
ND,Zibia Gasparetto,Quando a Vida Escolhe,Vida & Consciência,ND,Ficção Brasileira,10,Português,Comum,436,21 x 14 cm,346
ND,Antonio Callado,Quarup,Círculo do Livro,1975,Ficção Brasileira,10,Português,Dura,575,20 x 13 cm,470
ND,Machado de Assis,Quincas Borba; Dom Casmurro,Formar,1971,Ficção Brasileira,10,Português,Dura,566,22 x 15 cm,278
ND,Machado de Assis,Relíquias de Casa Velha; Crônicas,Formar,1971,Ficção Brasileira,10,Português,Dura,557,22 x 15 cm,256
9788573534337,Wanda A. Canutti; Eça de Queiroz,Renascendo do ódio,Eme,2010,Ficção Brasileira,10,Português,Comum,350,21 x 14 cm,272
ND,José Mauro de Vasconcelos,Rua Descalça,Melhoramentos,1969,Ficção Brasileira,10,Português,Comum,286,21 x 14 cm,192
ND,Jorge Amado,São Jorge dos Ilhéus,Record,1979,Ficção Brasileira,10,Português,Dura,473,22 x 15 cm,328
ND,Salvador Gentile,Senzala,Ide,1989,Ficção Brasileira,10,Português,Comum,296,18 x 14 cm,288
9788501073235,Marcelo Carneiro da Cunha,Simples,Record,2000,Ficção Brasileira,10,Português,Comum,420,21 x 14 cm,282
9788592353032,Luiza Araujo,Sixteen: Love Through Time,Do Autor,2017,Ficção Brasileira,10,Inglês,Comum,230,20 x 13 cm,162
9788592353001,Luiza Araujo,Sixteen: o Amor Através dos Tempos,Do Autor,2017,Ficção Brasileira,10,Português,Comum,210,20 x 13 cm,146
ND,Jorge Amado,Tenda dos Milagres,Record,1979,Ficção Brasileira,10,Português,Dura,488,22 x 15 cm,338
ND,Jorge Amado,Tereza Batista Cansada de Guerra,Record,1977,Ficção Brasileira,10,Português,Dura,634,22 x 15 cm,422
9788542803280,Jefferson Oliveira,Thales Martins e o Livro da Maldição,Novo Século,2014,Ficção Brasileira,10,Português,Comum,340,21 x 14 cm,280
ND,José de Alencar,Til; o Sertanejo,Formar,1971,Ficção Brasileira,10,Português,Dura,635,22 x 15 cm,332
9788536602707,Francisco Dandão,Trilhas Urbanas: no Reflexo do Espelho,Scortecci,2009,Ficção Brasileira,10,Português,Comum,240,21 x 14 cm,166
9798572325294,Lima Barreto,Triste Fim de Policarpo Quaresma,L&PM,2010,Ficção Brasileira,10,Português,Comum,109,21 x 14 cm,64
9789895281589,D. I. Bueno,Um Sonho Devastado,Chiado,2020,Ficção Brasileira,10,Português,Comum,476,23 x 16 cm,340
9788574199740,Claudio Edinger,Um Swami no Rio,Annablume,2009,Ficção Brasileira,10,Português,Comum,430,23 x 16 cm,256
9788547000196,Luis Fernando Verissimo,Veríssimas,Objetiva,2016,Ficção Brasileira,10,Português,Comum,416,23 x 16 cm,208
9788590194712,Maria Zulema Cebrián,Vontade de Ir Além,Do Autor,2001,Ficção Brasileira,10,Português,Comum,210,21 x 14 cm,142
9788598581019,Alberico Rodrigues,Zé Batalha: o Herói da Minha Infância,Mentes Raras,2004,Ficção Brasileira,10,Português,Comum,210,23 x 16 cm,72
ND,Fernando Sabino,"Zélia, uma Paixão",Record,ND,Ficção Brasileira,10,Português,Comum,329,21 x 14 cm,268
ND,George Orwell,1984 Teste,Nacional,1979,Ficção Estrangeira,10,Português,Comum,334,21 x 14 cm,278
9788580572759,Chad Harbach,A Arte do Jogo,Intrinseca,2013,Ficção Estrangeira,10,Português,Comum,670,23 x 16 cm,496
9780446611862,Nicholas Sparks,A Bend in the Road,Warner,2002,Ficção Estrangeira,10,Inglês,Comum,210,17 x 11 cm,368
9788576652175,Paulo Coelho,A Bruxa de Portobello,Planeta,2006,Ficção Estrangeira,10,Português,Comum,320,20 x 13 cm,296
9788501086174,Lauren Weisberger,À Caça de Harry Winston,Record,2009,Ficção Estrangeira,10,Português,Comum,610,21 x 14 cm,430
9788575812938,Melanie Wallace,A Cidade,Arx,2008,Ficção Estrangeira,10,Português,Comum,280,21 x 14 cm,224
ND,Eça de Queiroz,A Cidade e as Serras,Ediouro,ND,Ficção Estrangeira,10,Português,Comum,257,18 x 11 cm,296
ND,Alexandre Dumas Filho,A Dama das Camélias,Tecnoprint,ND,Ficção Estrangeira,10,Português,Comum,91,18 x 11 cm,124
ND,Alexandre Dumas,A Dama das Camélias - Tomo 1,LDA,1988,Ficção Estrangeira,10,Português,Comum,89,18 x 13 cm,96
ND,Alexandre Dumas,A Dama das Camélias - Tomo 2,LDA,1988,Ficção Estrangeira,10,Português,Comum,90,18 x 13 cm,96
ND,Morris West,A Filha do Silêncio,Civilização Brasileira,1970,Ficção Estrangeira,10,Português,Comum,331,21 x 14 cm,244
9788562409882,Charlie Donlea,A Garota do Lago,Faro Editorial,2017,Ficção Estrangeira,10,Português,Comum,536,23 x 16 cm,296
ND,Erin Pizzey,A Governadora,Record,1987,Ficção Estrangeira,10,Português,Comum,420,21 x 14 cm,412
ND,Shannon Drake,A Guerra das Rosas,Nova Cultural,1994,Ficção Estrangeira,10,Português,Comum,208,18 x 12 cm,314
9780307947512,Dave Eggers,A Hologram For the King,Vintage,2013,Ficção Estrangeira,10,Inglês,Comum,300,20 x 13 cm,356
9788520902295,Milan Kundera,A Imortalidade,Nova Fronteira,1990,Ficção Estrangeira,10,Português,Comum,418,21 x 14 cm,340
ND,Leão Tolstoi,A Manhã de um Senhor,LDA,1988,Ficção Estrangeira,10,Português,Comum,89,18 x 13 cm,96
ND,H. G. Wells; Paulo Mendes Campos,A Maquina do Tempo,Edicoes de Ouro,1972,Ficção Estrangeira,10,Português,Comum,108,16 x 11 cm,128
9788528620504,Sara Gruen,À Margem do Lago,Bertrand Brasil,2016,Ficção Estrangeira,10,Português,Comum,550,23 x 16 cm,390
9788535916270,Stieg Larsson,A Menina Que Brincava Com Fogo - Edição Econômica,Companhia das Letras,2012,Ficção Estrangeira,10,Português,Comum,916,23 x 16 cm,608
ND,Franz Kafka,A Metamorfose,LDA,1988,Ficção Estrangeira,10,Português,Comum,91,18 x 13 cm,96
ND,Richard Bach,A Ponte para o Sempre,Record,1984,Ficção Estrangeira,10,Português,Comum,357,21 x 14 cm,320
9788581631530,Debbie Macomber,A Pousada Rose Harbor,Novo Conceito,2013,Ficção Estrangeira,10,Português,Comum,520,23 x 16 cm,350
9788535915839,Stieg Larsson,A Rainha do Castelo de Ar,Companhia das Letras,2009,Ficção Estrangeira,10,Português,Comum,1049,23 x 16 cm,688
ND,Morris West,A Salamandra,Círculo do Livro,1974,Ficção Estrangeira,10,Português,Dura,503,20 x 13 cm,406
ND,D. H. Lawrence,A Serpente Emplumada,Círculo do Livro,1981,Ficção Estrangeira,10,Português,Dura,554,21 x 13 cm,458
ND,Gwen Davis,A Terceira Porta,Clube do Livro,1984,Ficção Estrangeira,10,Português,Comum,174,21 x 14 cm,126
9788511514155,Agatha Christie,A Testemunha Ocular do Crime,Record,1987,Ficção Estrangeira,10,Português,Comum,150,18 x 13 cm,192
ND,Morris West,A Torre de Babel,Record,1968,Ficção Estrangeira,10,Português,Comum,315,21 x 14 cm,294
9788580411089,William P. Young,A Travessia,Arqueiro,2012,Ficção Estrangeira,10,Português,Comum,363,23 x 16 cm,240
9788580412628,William P. Young,A Travessia,Arqueiro,2014,Ficção Estrangeira,10,Português,Comum,255,21 x 14 cm,208
ND,Julio Verne,A Volta ao Mundo Em Oitenta Dias,Novo Brasil,1983,Ficção Estrangeira,10,Português,Dura,493,21 x 13 cm,278
ND,Donald Freed; Mark Lane,Ação Executiva: Assassinato de um Chefe de Estado,Bloch,1973,Ficção Estrangeira,10,Português,Comum,272,21 x 14 cm,198
ND,Danielle Steel,Agora e Sempre,Record,1978,Ficção Estrangeira,10,Português,Comum,413,21 x 14 cm,358
ND,Barbara Cartland,Amantes no Paraíso,Abril,1980,Ficção Estrangeira,10,Português,Comum,119,19 x 13 cm,128
ND,Timothy Harris,American Gigolo,Delacorte Press,1979,Ficção Estrangeira,10,Inglês,Dura,309,21 x 15 cm,180
ND,Camilo Castelo Branco,Amor de Perdição,Ática,1969,Ficção Estrangeira,10,Português,Comum,183,20 x 14 cm,144
ND,Diana Morgan,Amor de Verão,Globo,1983,Ficção Estrangeira,10,Português,Comum,117,19 x 12 cm,144
ND,Helen Van Slyke,Amor Nunca é Demais,Nova Cultural,1986,Ficção Estrangeira,10,Português,Comum,394,19 x 12 cm,510
9788429436143,Lazarillo de Tormes,Anónimo,Santillana,1994,Ficção Estrangeira,10,Espanhol,Comum,119,19 x 12 cm,88
9788585091927,Sally Quinn,Apenas Mágoas,Bestseller,1988,Ficção Estrangeira,10,Português,Comum,570,21 x 14 cm,626
ND,Morris West,Arlequim,Record,1974,Ficção Estrangeira,10,Português,Comum,330,21 x 14 cm,288
9788531200571,Marion Zimmer Bradley,As Brumas de Avalon Vol. 3: o Gamo Rei,Imago,1989,Ficção Estrangeira,10,Português,Comum,308,21 x 14 cm,246
ND,Marion Zimmer Bradley,As Brumas de Avalon Vol. 4: o Prisioneiro da Árvore,Imago,1989,Ficção Estrangeira,10,Português,Comum,336,20 x 14 cm,278
9788531200588,Marion Zimmer Bradley,As Brumas de Avalon Vol. 4: o Prisioneiro da Árvore,Nova Cultural,1982,Ficção Estrangeira,10,Português,Comum,241,19 x 12 cm,298
9788582910504,L. Palhano Júnior,As Chaves do Reino: Seguindo os Passos de Anchieta,Lachâtre,2000,Ficção Estrangeira,10,Português,Comum,275,22 x 15 cm,192
ND,Júlio Diniz,As Pupilas do Senhor Reitor - Tomo 1,LDA,1988,Ficção Estrangeira,10,Português,Comum,88,18 x 13 cm,96
ND,Júlio Diniz,As Pupilas do Senhor Reitor - Tomo 2,LDA,1988,Ficção Estrangeira,10,Português,Comum,90,18 x 13 cm,96
9788532501196,Paulo Coelho,As Valkírias,Rocco,1992,Ficção Estrangeira,10,Português,Comum,306,21 x 14 cm,240
9788573200126,Philippe Djian,Assassinos,Scritta,1995,Ficção Estrangeira,10,Português,Comum,240,20 x 13 cm,210
ND,Elia Kazan,Atos de Amor,Nova Cultural,1986,Ficção Estrangeira,10,Português,Comum,350,19 x 12 cm,446
9780061624216,Sarah Langan,Audreys Door,Harper,2009,Ficção Estrangeira,10,Inglês,Comum,210,17 x 10 cm,412
ND,Arthur Hailey,Automóvel,Círculo do Livro,1971,Ficção Estrangeira,10,Português,Dura,552,20 x 13 cm,488
9780312650247,P. C. Cast; Kristin Cast,Awakened,St Margins,2011,Ficção Estrangeira,10,Inglês,Dura,420,22 x 15 cm,290
ND,Sinclair Lewis,Babbitt,Globo,1950,Ficção Estrangeira,10,Português,Comum,295,17 x 10 cm,447
ND,Guy de Maupassant,Bel-ami,Abril,1981,Ficção Estrangeira,10,Português,Comum,295,20 x 13 cm,320
9781905654321,P. C. Cast; Kristin Cast,Betrayed,Atom,2009,Ficção Estrangeira,10,Inglês,Comum,320,20 x 13 cm,292
9781849019682,Maria Sveland,Bitter Bitch,Corsair,2011,Ficção Estrangeira,10,Inglês,Comum,180,18 x 11 cm,246
9780312532765,Alyson Noel,Blue Moon,St Margins,2009,Ficção Estrangeira,10,Inglês,Comum,300,21 x 14 cm,290
9781416974369,Scott Westerfeld,Bogus to Bubbly: An Insiders Guide to the World of Uglies,Simon Pulse,2008,Ficção Estrangeira,10,Inglês,Comum,264,18 x 13 cm,196
9780312643539,P. C. Cast; Kristin Cast,Burned,St Margins,2010,Ficção Estrangeira,10,Inglês,Comum,330,21 x 14 cm,324
ND,John Updike,Casais Trocados,Edibolso,1975,Ficção Estrangeira,10,Português,Comum,252,18 x 11 cm,424
9780718145224,Nicci French,Catch Me When I Fall,Penguin,2005,Ficção Estrangeira,10,Inglês,Comum,480,23 x 15 cm,298
9781400080434,Megan Mccafferty,Charmed Thirds,Three Rivers Press,2007,Ficção Estrangeira,10,Inglês,Comum,550,23 x 16 cm,372
ND,Erin St. Claire,Chuvas de Verão,Nova Cultural,1985,Ficção Estrangeira,10,Português,Comum,163,19 x 12 cm,192
9788580572162,E L James,Cinquenta Tons de Liberdade,Intrinseca,2012,Ficção Estrangeira,10,Português,Comum,761,23 x 16 cm,544
9788580572100,E L James,Cinquenta Tons Mais Escuros,Intrinseca,2012,Ficção Estrangeira,10,Português,Comum,726,23 x 16 cm,512
9780670021680,Elizabeth Gilbert,Committed,Viking,2010,Ficção Estrangeira,10,Inglês,Comum,410,23 x 15 cm,286
ND,Charles Dickens,Conto de Natal,LDA,1988,Ficção Estrangeira,10,Português,Comum,90,18 x 13 cm,96
ND,Antoine de Saint-exupéry,Correio Sul; Voo Noturno,Abril,1974,Ficção Estrangeira,10,Português,Comum,365,20 x 14 cm,242
9780330520614,Alyson Noel,Dark Flame,Macmillan,2010,Ficção Estrangeira,10,Inglês,Comum,299,20 x 13 cm,320
ND,Judith Rossner,De Bar Em Bar,Círculo do Livro,1975,Ficção Estrangeira,10,Português,Dura,334,20 x 13 cm,262
9788563114167,Aixa de La Cruz,De Música Ligeira,Tinta Negra,2010,Ficção Estrangeira,10,Português,Comum,330,23 x 16 cm,208
ND,Giovanni Boccaccio,Decamerão,Abril,1979,Ficção Estrangeira,10,Português,Dura,940,24 x 17 cm,580
9788501041074,Scott Turow,Declarando-se Culpado,Record,1994,Ficção Estrangeira,10,Português,Comum,449,21 x 14 cm,398
ND,Annemarie Selinko,Desirée,Abril,1974,Ficção Estrangeira,10,Português,Dura,776,20 x 14 cm,638
9780425246764,Clive Cussler,Devils Gate,Berkley,2012,Ficção Estrangeira,10,Inglês,Comum,300,19 x 11 cm,504
ND,Jacqueline Susann,Dolores,Círculo do Livro,ND,Ficção Estrangeira,10,Português,Dura,222,17 x 12 cm,142
9789500300711,Federico Garcia Lorca,Dona Rosita La Soltera o El Lenguaje de las Flores,Losada,1997,Ficção Estrangeira,10,Espanhol,Comum,130,17 x 10 cm,120
9781848454736,Mary Kubica,Dont You Cry,Mira,2016,Ficção Estrangeira,10,Inglês,Comum,292,20 x 13 cm,384
9781250000231,P. C. Cast; Kristin Cast,Dragons Oath,St Margins,2011,Ficção Estrangeira,10,Inglês,Dura,290,19 x 14 cm,146
9783498060558,Jochen Schmidt; David Wagner,Drüben Und Drüben: Zwei Deutsche Kindheiten,Rowohlt,2014,Ficção Estrangeira,10,Alemão,Dura,451,21 x 14 cm,332
ND,Agatha Christie,É Fácil Matar,Nova Fronteira,ND,Ficção Estrangeira,10,Português,Comum,256,21 x 14 cm,192
ND,John Steinbeck,Een Handvol Goud,Meulenhoff,1961,Ficção Estrangeira,10,Holandês,Comum,136,17 x 11 cm,190
9788525003065,Jorge Luis Borges,Elogio da Sombra; um Ensaio Autobiográfico,Globo,1993,Ficção Estrangeira,10,Português,Comum,185,21 x 14 cm,122
9788542201628,Augusto Cury,Em Busca do Sentido da Vida,Planeta,2013,Ficção Estrangeira,10,Português,Comum,519,23 x 16 cm,368
ND,John Ohara,Encontro Em Samarra,Abril,1975,Ficção Estrangeira,10,Português,Dura,371,21 x 14 cm,238
9788560280605,Elena P. Melodia,Escuridão,Objetiva,2010,Ficção Estrangeira,10,Português,Comum,620,23 x 16 cm,328
ND,Leon Uris,"Exodus, Vol. 1",Abril,1981,Ficção Estrangeira,10,Português,Comum,341,19 x 13 cm,376
ND,Leon Uris,"Exodus, Vol. 2",Abril,1981,Ficção Estrangeira,10,Português,Comum,302,19 x 13 cm,336
ND,Lisa Plumley,Feitos um para o Outro,Abril,2003,Ficção Estrangeira,10,Português,Comum,263,18 x 12 cm,384
ND,Irwin Shaw,Felicidade Não Se Compra,Nova Cultural,1986,Ficção Estrangeira,10,Português,Comum,330,19 x 12 cm,422
9780753813973,Bernhard Schlink,Flights of Love,Phoenix,2002,Ficção Estrangeira,10,Inglês,Comum,320,20 x 13 cm,308
9780175561292,Mark Shackleton,Further Recollections: Ten Stories on Five Themes,Nelson,1991,Ficção Estrangeira,10,Inglês,Comum,190,19 x 12 cm,156
9788202258115,Ulf Nilsson,Fyrets Hemmlighet,Cappelen,2006,Ficção Estrangeira,10,Dinamarquês,Dura,260,21 x 13 cm,132
9780099524182,Audrey Niffenegger,Her Fearful Symmetry,Vintage,2010,Ficção Estrangeira,10,Inglês,Comum,290,18 x 11 cm,416
9780505525260,Tess Mallory,Highland Fling,Love Spell,2003,Ficção Estrangeira,10,Inglês,Comum,180,17 x 10 cm,306
ND,Johannes V. Jensen,Histórias do Himmerland,Delta,1964,Ficção Estrangeira,10,Português,Dura,706,23 x 17 cm,216
ND,Edgar Allan Poe,Histórias Extraordinárias,LDA,1988,Ficção Estrangeira,10,Português,Comum,91,18 x 13 cm,96
ND,Honore de Balzac,Histórias Fascinantes,Cultrix,1960,Ficção Estrangeira,10,Português,Dura,471,21 x 14 cm,236
9788575420140,Jack Canfield & Outros,Histórias para Aquecer o Coração das Mães,Sextante,2002,Ficção Estrangeira,10,Português,Comum,305,21 x 14 cm,186
9780446613378,James Patterson; Howard Roughan,Honeymoon,Warner,2007,Ficção Estrangeira,10,Inglês,Comum,210,17 x 10 cm,406
ND,Malba Tahan,Iazul: Contos e Lendas Orientais,Edicoes de Ouro,ND,Ficção Estrangeira,20,Português,Comum,154,16 x 11 cm,208
9788578990626,Marcio Martelli; Outros,Interiores: Crônicas de um Novo Mundo,In House,2010,Ficção Estrangeira,10,Português,Comum,347,21 x 14 cm,256
9788575090435,Frank Baldwin,Jake & Mimi,Geração Editorial,2002,Ficção Estrangeira,10,Português,Comum,570,23 x 16 cm,296
ND,Sidney Sheldon,Juízo Final,Record,1992,Ficção Estrangeira,10,Português,Comum,438,21 x 14 cm,368
9782253010333,Daphne Du Maurier,La Chaine Damour,Albin Michel,1950,Ficção Estrangeira,10,Francês,Comum,261,16 x 11 cm,510
ND,Larry Mcmurtry,Laços de Ternura,Nova Cultural,1987,Ficção Estrangeira,10,Português,Comum,320,19 x 12 cm,408
9782253047278,Refine Deforges,Le Diable En Rit Encore,Ramsay,1985,Ficção Estrangeira,10,Francês,Comum,250,16 x 11 cm,480
9788576872191,Sharon Sala,Lembre-se de Mim,Harlequin,2006,Ficção Estrangeira,10,Português,Comum,480,21 x 14 cm,316
9788579307232,A. C. Meyer,Louca por Você,Universo dos Livros,2014,Ficção Estrangeira,10,Português,Comum,300,23 x 16 cm,208
9780060001452,Victoria Alexander,Love With the Proper Husband,Avon,2003,Ficção Estrangeira,10,Inglês,Comum,210,17 x 10 cm,374
9780143130154,Jojo Moyes,Me Before You,Penguin,2016,Ficção Estrangeira,20,Inglês,Comum,265,19 x 11 cm,448
9788528617719,Nora Roberts,Mentiras Genuínas,Bertrand Brasil,2013,Ficção Estrangeira,10,Português,Comum,850,23 x 16 cm,630
9788581637068,Randy Susan Meyers,Mentiras Que Confortam,Novo Conceito,2015,Ficção Estrangeira,10,Português,Comum,529,23 x 16 cm,368
9780008123321,Susie Steiner,"Missing, Presumed",Borough Press,2016,Ficção Estrangeira,10,Inglês,Comum,330,20 x 13 cm,406
9788571648760,Charles Frazier,Montanha Gelada,Companhia das Letras,1999,Ficção Estrangeira,10,Português,Comum,563,21 x 14 cm,432
9788563219640,Ben Sherwood,Morte e Vida de Charlie St. Cloud,Novo Conceito,2010,Ficção Estrangeira,10,Português,Comum,257,21 x 14 cm,208
ND,Marilyn French,Mulheres,Record,1977,Ficção Estrangeira,10,Português,Comum,505,21 x 14 cm,528
9781594481956,James Frey,My Friend Leonard,Riverhead,2005,Ficção Estrangeira,10,Inglês,Comum,380,20 x 13 cm,400
9788528613810,Jesse Jones,Namorados Imprestáveis,Bertrand Brasil,2009,Ficção Estrangeira,10,Português,Comum,550,23 x 16 cm,374
9780330528115,Alyson Noel,Night Star,Macmillan,2010,Ficção Estrangeira,10,Inglês,Comum,287,20 x 13 cm,312
9780307476104,Harvard Lampoon,Nightlight,Vintage,2009,Ficção Estrangeira,10,Inglês,Comum,190,20 x 13 cm,154
9788595440012,Pedro Santiago; Dizzi Akibah,No Vai e Vem da Vida,Eme,2017,Ficção Estrangeira,10,Português,Comum,360,23 x 16 cm,288
ND,Kikuo Furuno,Numa Campina Verde-mar Distante,Aliança Cultural Brasil-japã,ND,Ficção Estrangeira,10,Japonês,Comum,330,21 x 23 cm,96
9788578550523,Malu Rizardi,Nunca é por Tudo,Livrus,2009,Ficção Estrangeira,10,Português,Comum,170,21 x 14 cm,124
ND,Irwin Shaw,O Alto da Colina,Círculo do Livro,1982,Ficção Estrangeira,10,Português,Dura,398,21 x 13 cm,296
ND,Marguerite Duras,O Amante,Círculo do Livro,1987,Ficção Estrangeira,10,Português,Dura,293,21 x 13 cm,114
9788520917671,Khaled Hosseini,O Caçador de Pipas,Nova Fronteira,2005,Ficção Estrangeira,10,Português,Comum,534,23 x 16 cm,366
ND,Eça de Queirós,O Crime do Padre Amaro,Formar,1973,Ficção Estrangeira,10,Português,Dura,530,22 x 15 cm,280
ND,Graham Greene,O Décimo Homem,Record,1985,Ficção Estrangeira,10,Português,Comum,217,21 x 14 cm,148
ND,Frederick Forsyth,O Dia do Chacal,Círculo do Livro,1971,Ficção Estrangeira,10,Português,Dura,491,20 x 13 cm,414
9788576650300,Ian Caldwell; Dustin Thomason,O Enigma do Quatro,Planeta,2005,Ficção Estrangeira,10,Português,Comum,584,23 x 16 cm,432
ND,Irving Wallace,O Fã Clube,Abril,1985,Ficção Estrangeira,10,Português,Comum,441,19 x 13 cm,568
9788562409288,J. Sterling,O Jogo Mais Doce,Faro Editorial,2015,Ficção Estrangeira,10,Português,Comum,400,23 x 16 cm,202
9788501400901,Hilary Mantel,O Livro de Henrique,Record,2013,Ficção Estrangeira,10,Português,Comum,514,23 x 16 cm,364
ND,Harold Robbins,O Machão,Abril,1985,Ficção Estrangeira,10,Português,Comum,270,19 x 12 cm,336
9788501103970,Holly Peterson,O Marido Ideal,Record,2015,Ficção Estrangeira,10,Português,Comum,450,21 x 14 cm,416
9788501058911,Jane Shapiro,O Marido Perigoso,Record,2002,Ficção Estrangeira,10,Português,Comum,410,21 x 14 cm,272
9788580410495,Nicholas Sparks,O Melhor de Mim,Arqueiro,2012,Ficção Estrangeira,10,Português,Comum,359,23 x 16 cm,270
9788573020953,Paulo Coelho,O Monte Cinco,Objetiva,1996,Ficção Estrangeira,10,Português,Comum,426,21 x 14 cm,280
ND,Morris West,O Navegante,Círculo do Livro,ND,Ficção Estrangeira,10,Português,Dura,436,20 x 13 cm,342
ND,Eça de Queirós,O Primo Basílio,Formar,1973,Ficção Estrangeira,10,Português,Dura,484,22 x 15 cm,248
ND,Eça de Queirós,O Primo Basílio - Tomo 1,LDA,1988,Ficção Estrangeira,10,Português,Comum,91,18 x 13 cm,96
ND,Eça de Queirós,O Primo Basílio - Tomo 2,LDA,1988,Ficção Estrangeira,10,Português,Comum,90,18 x 13 cm,96
ND,Philip Roth,O Professor de Desejo,Círculo do Livro,1977,Ficção Estrangeira,10,Português,Dura,313,20 x 13 cm,214
9788532531049,Alexandra Oliva,O Que Restou,Rocco,2018,Ficção Estrangeira,10,Português,Comum,420,23 x 16 cm,318
9788528610666,Isabel Allende,O Reino do Dragão de Ouro,Bertrand Brasil,2004,Ficção Estrangeira,10,Português,Comum,520,23 x 16 cm,308
