ISBN,Autor,Titulo,Editora,Ano,Estante,Preco,Idioma,Capa,Peso,Dimensoes,Paginas
9780763660512,Stephan Pastis,Timmy Failure #2,Candlewick,2014,Infantojuvenis,10,Inglês,Dura,490,21 x 14 cm,276
9780545317047,Eva Gray,Tomorrow Girls: Set Me Free,Scholastic,2011,Infantojuvenis,10,Inglês,Comum,190,19 x 13 cm,230
9788538001225,Ciranda Cultural,"Truques de Mágica: Com Muitas Atrações, Truques e Ilusionismo",Ciranda Cultural,2012,Infantojuvenis,10,Português,Dura,540,28 x 25 cm,64
9788522013319,Cláudia Felício,Tudo Sobre Garotas,Agir,2011,Infantojuvenis,10,Português,Comum,173,21 x 14 cm,104
9788539501199,Peter Whitfield; Nancy Bevington,Turma da Sabedoria: para Cima e para Baixo,Fundamento,2011,Infantojuvenis,10,Português,Comum,149,23 x 25 cm,28
9788586295065,Hardy Guedes; Márcia Széliga,Um Fio de Linha Contra o Monstro do Labirinto,Hgf,1997,Infantojuvenis,10,Português,Comum,100,21 x 21 cm,24
9788592550028,Deuceli Kwiatkowski; Ariana Oliveira de Camargo,Um Menino Chamado Luigi,Santa Marcelina,2018,Infantojuvenis,10,Português,Comum,190,24 x 18 cm,54
9788501004765,Lucília Junqueira de Almeida Prado,Uma Rua Como Aquela,Record,1996,Infantojuvenis,10,Português,Comum,212,21 x 14 cm,162
9788556321732,Monica Kranz Schechner Lynn,Urban Legends,Red Ballon,2017,Infantojuvenis,10,Português,Comum,160,24 x 19 cm,64
9788555402197,Isabela Bittencourt Starepravo; Carla Lado B,Vovô Brasílio: Papy Brasílio,Inverso,2019,Infantojuvenis,10,Português,Comum,140,22 x 22 cm,24
9788561893194,Yuri Diógenes; Daniel Mauser,Certificação Security+: Da Prática Para o Exame SYO-301,Novaterra,2013,Informática,60,Português,Comum,761,23 x 17 cm,448
9788575222126,Aurélio Marinho Jargas,Expressões Regulares: Uma Abordagem Divertida,Novatec,2008,Informática,20,Português,Comum,329,23 x 16 cm,208
9788575221525,Aurélio Marinho Jargas,Shell Script Profissional,Novatec,2008,Informática,60,Português,Comum,801,24 x 17 cm,480
9788535255348,Ram Charan; Stephen Drotter; James Noel,Pipeline de Lidenrança,Elsevier,2012,Negócios,30,Português,Comum,481,23 x 16 cm,312
9788508135448,Marlene Carvalho,Primeiras Letras: Alfabetização de Jovens e Adultos em Espaços Populares,Atica,2010,Pedagogia,20,Português,Comum,231,21 x 14 cm,176
